任务ID,分类,任务描述,预计完成时间(秒),标签
1,感官唤醒类,闭眼触摸身边三种不同纹理的物体,45,"#触觉,#纹理"
2,感官唤醒类,记录此刻听到的最远声音来源,30,"#听觉,#记录"
3,感官唤醒类,深吸气分辨空气中的三种气味,40,"#嗅觉,#分辨"
4,感官唤醒类,用舌尖感受口腔不同区域的味觉差异,35,"#味觉,#感知"
5,感官唤醒类,观察光影在墙面移动的轨迹,30,"#视觉,#追踪"
6,感官唤醒类,寻找并记录周围所有红色物体,45,"#视觉,#色彩"
7,感官唤醒类,用手指轻触三种不同温度的表面,40,"#触觉,#温度"
8,感官唤醒类,闭眼感受脸部的气流变化,30,"#触觉,#气流"
9,感官唤醒类,寻找环境中的对称图案,45,"#视觉,#对称"
10,感官唤醒类,用手掌感受不同材质的温度差异,35,"#触觉,#材质"
11,感官唤醒类,辨识当前环境中最柔和的声音,40,"#听觉,#辨识"
12,感官唤醒类,观察并记录阳光照射的角度,30,"#视觉,#记录"
13,感官唤醒类,寻找空间中的几何形状,45,"#视觉,#形状"
14,感官唤醒类,感受不同表面的摩擦力差异,40,"#触觉,#摩擦"
15,感官唤醒类,识别环境中的金属气息,35,"#嗅觉,#辨识"
16,感官唤醒类,观察物体投射的阴影形状,30,"#视觉,#光影"
17,感官唤醒类,用指尖感受纸张的纹理,40,"#触觉,#细节"
18,感官唤醒类,寻找并记录最亮的光源,35,"#视觉,#光源"
19,感官唤醒类,分辨三种不同的植物香气,45,"#嗅觉,#分辨"
20,感官唤醒类,感受不同布料的触感差异,40,"#触觉,#材质"
21,感官唤醒类,辨识环境中的重复声音,35,"#听觉,#辨识"
22,感官唤醒类,观察物体表面的光泽度,30,"#视觉,#细节"
23,感官唤醒类,寻找并触摸最粗糙的表面,45,"#触觉,#质感"
24,感官唤醒类,感受不同物体的重量差异,40,"#触觉,#重量"
25,感官唤醒类,识别环境中的塑料气味,35,"#嗅觉,#辨识"
26,微行动激活类,单脚站立数到20,30,"#平衡,#计数"
27,微行动激活类,做三个深呼吸配合手臂伸展,40,"#呼吸,#伸展"
28,微行动激活类,原地小跳10次,30,"#运动,#节奏"
29,微行动激活类,用铅笔在纸上画完美圆形,45,"#绘画,#专注"
30,微行动激活类,双手互相按摩一分钟,40,"#放松,#触觉"
31,微行动激活类,转动脖子做颈部放松,35,"#放松,#运动"
32,微行动激活类,用橡皮筋练习手指灵活度,30,"#精细动作"
33,微行动激活类,站立转圈指向四个方向,45,"#方向感,#运动"
34,微行动激活类,做10次手腕旋转运动,35,"#运动,#放松"
35,微行动激活类,用脚趾抓取小物件,40,"#精细动作"
36,微行动激活类,模仿树叶随风摆动,30,"#模仿,#放松"
37,微行动激活类,用手指敲击桌面节奏,45,"#节奏,#协调"
38,微行动激活类,眨眼20次放松眼部,35,"#放松,#健康"
39,微行动激活类,用一根线穿过回形针,40,"#精细动作"
40,微行动激活类,双手互拍15次,30,"#节奏,#协调"
41,微行动激活类,用橡皮擦清理桌面一角,45,"#整理,#专注"
42,微行动激活类,做5次手臂划圈动作,35,"#运动,#放松"
43,微行动激活类,用笔在空中写自己名字,40,"#空间感,#书写"
44,微行动激活类,轻轻按摩太阳穴,30,"#放松,#健康"
45,微行动激活类,用夹子夹起5张纸,45,"#精细动作"
46,微行动激活类,将铅笔转三圈,35,"#协调,#技巧"
47,微行动激活类,用橡皮泥捏一个小球,40,"#创造,#触觉"
48,微行动激活类,将纸对折三次,30,"#折叠,#精确"
49,微行动激活类,用回形针串成链条,45,"#精细动作"
50,微行动激活类,将铅笔立在桌面保持平衡,40,"#平衡,#技巧"
51,认知重启类,用反方向书写自己名字,45,"#书写,#逆向"
52,认知重启类,默写一首古诗的前两句,40,"#记忆,#文学"
53,认知重启类,计算今天是今年的第几天,35,"#计算,#时间"
54,认知重启类,用三个词形容当前心情,30,"#情绪,#表达"
55,认知重启类,回忆童年最喜欢的玩具,45,"#记忆,#回溯"
56,认知重启类,列举三个红色食物名称,35,"#联想,#色彩"
57,认知重启类,默数1到50的偶数,40,"#计数,#专注"
58,认知重启类,想象并描述理想的假期,30,"#想象,#规划"
59,认知重启类,用四个字概括当前天气,45,"#概括,#观察"
60,认知重启类,回忆上周最开心的事,35,"#记忆,#情绪"
61,认知重启类,列举三个以"木"字旁的字,40,"#文字,#联想"
62,认知重启类,默写三个朋友的电话号码,30,"#记忆,#数字"
63,认知重启类,用成语描述当前心情,45,"#文学,#表达"
64,认知重启类,回忆早餐的具体时间,35,"#记忆,#时间"
65,认知重启类,列举三种不同形状的云,40,"#观察,#自然"
66,认知重启类,默写英文字母表的后10个,30,"#记忆,#语言"
67,认知重启类,想象并描述10年后的自己,45,"#想象,#未来"
68,认知重启类,用数字表达当前心情,35,"#抽象,#表达"
69,认知重启类,列举三个常见的鸟类名称,40,"#自然,#记忆"
70,认知重启类,回忆童年的一个梦境,30,"#记忆,#回溯"
71,认知重启类,默写三个成语的后半句,45,"#文学,#记忆"
72,认知重启类,计算出生至今的大致天数,35,"#计算,#时间"
73,认知重启类,用声音表达一种情绪,40,"#表达,#创意"
74,认知重启类,列举三个带"水"的词语,30,"#联想,#文字"
75,认知重启类,回忆上次理发的日期,45,"#记忆,#时间"
76,环境对话类,寻找房间最安静的角落,40,"#探索,#安静"
77,环境对话类,观察阳光照射的痕迹,35,"#观察,#光影"
78,环境对话类,找出最不起眼的物品,30,"#探索,#细节"
79,环境对话类,数一数房间里的插座,45,"#计数,#电器"
80,环境对话类,寻找环境中的对称物体,35,"#观察,#对称"
81,环境对话类,观察窗外最显眼的颜色,40,"#观察,#色彩"
82,环境对话类,找出最古老的物品,30,"#探索,#历史"
83,环境对话类,数一数房间的尖角物体,45,"#计数,#形状"
84,环境对话类,寻找能发出声音的物体,35,"#探索,#声音"
85,环境对话类,观察墙面的纹理变化,40,"#观察,#细节"
86,环境对话类,找出最轻的三个物品,30,"#探索,#重量"
87,环境对话类,数一数透明的物品,45,"#计数,#材质"
88,环境对话类,寻找会反光的表面,35,"#探索,#光学"
89,环境对话类,观察物品的投影形状,40,"#观察,#光影"
90,环境对话类,找出最柔软的物品,30,"#探索,#质感"
91,环境对话类,数一数方形的物品,45,"#计数,#形状"
92,环境对话类,寻找带有文字的物体,35,"#探索,#文字"
93,环境对话类,观察门窗的开合角度,40,"#观察,#空间"
94,环境对话类,找出最凉快的位置,30,"#探索,#温度"
95,环境对话类,数一数金属制品,45,"#计数,#材质"
96,环境对话类,寻找会移动的物体,35,"#探索,#动态"
97,环境对话类,观察灯光的分布,40,"#观察,#照明"
98,环境对话类,找出最暖和的角落,30,"#探索,#温度"
99,环境对话类,数一数植物的数量,45,"#计数,#自然"
100,环境对话类,寻找并记录时钟位置,35,"#探索,#时间"